"Fact_ID","Category","Subcategory","Topic","Question","Answer","Keywords","Source_Type"
"F00001","Company Overview","Identity","Full Name","What is the full name of IOCL?","IOCL stands for Indian Oil Corporation Limited, an Indian state-owned oil and gas company.","IOCL, full name, Indian Oil Corporation Limited","Website"
"F00002","Company Overview","History","Formation Year","When was Indian Oil Corporation Limited founded?","Indian Oil Corporation Limited traces its roots to 30 June 1959, when Indian Oil Company Ltd. was incorporated in New Delhi by the Government of India.","founded, 1959, history, Indian Oil Company Ltd","Public Information"
"F00003","Company Overview","History","1964 Merger","How was Indian Oil Corporation Limited formed?","Indian Oil Corporation Limited was formed through the 1964 merger of Indian Oil Company Ltd. and Indian Refineries Ltd., combining national marketing with refining operations.","merger, 1964, Indian Refineries Ltd, formation, history","Public Information"
"F00004","Company Overview","History","First Chairman","Who was the first Chairman of Indian Oil Company Ltd.?","K. R. Ramamurthy served as the first Chairman of Indian Oil Company Ltd. following its incorporation in 1959.","K R Ramamurthy, first chairman, history, 1959","Public Information"
"F00005","Company Overview","Identity","Registered Office","Where is the registered office of IOCL located?","The registered office of Indian Oil Corporation Limited is located in Mumbai, Maharashtra.","registered office, Mumbai, Maharashtra, IOCL","Website"
"F00006","Company Overview","Identity","Headquarters","Where is the corporate headquarters of IOCL located?","IOCL's corporate headquarters are located in New Delhi, India, even though its registered office is in Mumbai.","headquarters, New Delhi, corporate office, IOCL","Website"
"F00007","Company Overview","Ownership","Government Ownership","Is IOCL a government-owned company?","Yes, Indian Oil Corporation Limited is a public sector undertaking owned by the Government of India and operates under the administrative control of the Ministry of Petroleum & Natural Gas.","government owned, public sector, Ministry of Petroleum and Natural Gas, PSU","Government Publication"
"F00008","Company Overview","Ownership","Promoter Holding","What is the Government of India's shareholding in IOCL?","As of recent disclosures, the Government of India (Promoter) holds roughly 51.5% of Indian Oil Corporation Limited's equity shares, with the remainder held by institutions and the public.","shareholding, promoter holding, Government of India, equity, ownership","Stock Exchange Filing"
"F00009","Company Overview","Status","Maharatna Status","What is IOCL's status among India's Public Sector Enterprises?","Indian Oil Corporation Limited is classified as a Schedule 'A' Maharatna Central Public Sector Enterprise (CPSE), the highest category granted to top-performing PSUs, under the Ministry of Petroleum & Natural Gas.","Maharatna, Schedule A, CPSE, public sector enterprise, status","Government Publication"
"F00010","Company Overview","Global Ranking","Fortune Global 500","Is Indian Oil Corporation a Fortune Global 500 company?","Yes, Indian Oil Corporation Limited is regularly listed among the Fortune Global 500 companies, reflecting its scale as one of India's largest corporations by revenue.","Fortune Global 500, ranking, largest companies, IOCL","Public Information"
"F00011","Company Overview","Business Scope","Value Chain Coverage","What parts of the hydrocarbon value chain does IOCL operate in?","IOCL's business spans the entire hydrocarbon value chain, including refining, pipeline transportation, marketing of petroleum products, exploration and production of oil, natural gas, and petrochemicals.","value chain, refining, pipelines, marketing, exploration, petrochemicals, business scope","Public Information"
"F00012","Company Overview","Market Position","Largest Refiner","Is IOCL the largest oil refining company in India?","IOCL is India's largest oil refining company by capacity and the largest government-owned oil company in terms of both refining capacity and revenue.","largest refiner, India, refining capacity, revenue, market position","Public Information"
"F00013","Company Overview","Market Position","Market Share","What share of India's petroleum products market does IOCL hold?","Indian Oil Corporation accounts for nearly half of India's petroleum products retail market share, making it the dominant player in domestic fuel marketing.","market share, petroleum products, retail, India, IOCL","Public Information"
"F00014","Company Overview","Identity","Stock Exchange Listing","On which stock exchanges is IOCL listed?","Indian Oil Corporation Limited's equity shares are listed on the Bombay Stock Exchange (BSE) and the National Stock Exchange of India (NSE) under the ticker IOC.","BSE, NSE, stock exchange, listing, ticker IOC","Stock Exchange Filing"
"F00015","Company Overview","Brands","Major Consumer Brands","What are some well-known IOCL brands?","IOCL's portfolio of consumer brands includes Indane (LPG), SERVO (lubricants), XtraPremium (petrol), XtraMile (diesel), and Propel (petrochemicals).","Indane, SERVO, XtraPremium, XtraMile, Propel, brands","Website"
"F00016","Corporate Structure","Subsidiaries","Chennai Petroleum Corporation","What is Chennai Petroleum Corporation Limited's relationship with IOCL?","Chennai Petroleum Corporation Limited (CPCL) is a listed subsidiary of Indian Oil Corporation Limited, operating refineries in Tamil Nadu.","CPCL, Chennai Petroleum Corporation, subsidiary, Tamil Nadu","Annual Report"
"F00017","Corporate Structure","Subsidiaries","Lanka IOC","What is Lanka IOC PLC?","Lanka IOC PLC is a subsidiary of Indian Oil Corporation Limited operating in Sri Lanka, marking IOCL's overseas downstream presence.","Lanka IOC, Sri Lanka, subsidiary, overseas operations","Website"
"F00018","Corporate Structure","Subsidiaries","IndianOil Mauritius","Does IOCL have a subsidiary in Mauritius?","Yes, IndianOil Mauritius Ltd. is a wholly owned subsidiary of Indian Oil Corporation Limited supporting its operations in Mauritius.","IndianOil Mauritius, subsidiary, Mauritius, overseas","Website"
"F00019","Corporate Structure","Subsidiaries","IOC Middle East FZE","What is IOC Middle East FZE?","IOC Middle East FZE is a wholly owned subsidiary of Indian Oil Corporation Limited based in the Middle East, supporting trading and business development in the region.","IOC Middle East FZE, subsidiary, Middle East, overseas operations","Website"
"F00020","Corporate Structure","Subsidiaries","Terra Clean Limited","What is Terra Clean Limited?","Terra Clean Limited is a wholly owned subsidiary of IndianOil focused on sustainable and green-energy solutions, including solar, wind, hydro, EV infrastructure, green hydrogen, and bioenergy.","Terra Clean Limited, green energy, subsidiary, renewable energy, sustainability","Website"
"F00021","Corporate Structure","Subsidiaries","IndOil Montney","What is IndOil Montney Ltd.?","IndOil Montney Ltd. is a wholly owned subsidiary of IndianOil in Canada, related to its overseas exploration and production interests.","IndOil Montney, Canada, subsidiary, exploration","Website"
"F00022","Corporate Structure","Joint Ventures","IOC Global Capital Management IFSC","What is IOC Global Capital Management IFSC Ltd.?","IOC Global Capital Management IFSC Ltd. is one of IndianOil's group companies operating within India's International Financial Services Centre framework.","IOC Global Capital Management, IFSC, group company","Website"
"F00023","Corporate Structure","Business Units","Refineries Division","What does IOCL's Refineries Division manage?","IOCL's Refineries Division manages the operation, expansion, and modernization of the company's network of crude oil refineries across India.","Refineries Division, business unit, refinery operations","Website"
"F00024","Corporate Structure","Business Units","Pipelines Division","What does IOCL's Pipelines Division manage?","IOCL's Pipelines Division manages the company's cross-country crude oil, petroleum product, and gas pipeline network used to transport hydrocarbons across India.","Pipelines Division, business unit, crude pipeline, product pipeline","Website"
"F00025","Corporate Structure","Business Units","Marketing Division","What does IOCL's Marketing Division do?","IOCL's Marketing Division is responsible for the retail and institutional sale of petroleum products including petrol, diesel, LPG, and aviation fuel, and is one of the largest petroleum marketing organizations in Asia.","Marketing Division, retail, petroleum products, business unit","Website"
"F00026","Corporate Structure","Business Units","Petrochemicals Division","What does IOCL's Petrochemicals Division do?","IOCL's Petrochemicals Division oversees production and marketing of petrochemical products such as polymers, PTA, and paraxylene from its refinery-integrated complexes.","Petrochemicals Division, polymers, PTA, business unit","Website"
"F00027","Corporate Structure","Business Units","R&D Division","What is IndianOil R&D Centre?","The IndianOil R&D Centre, located in Faridabad, Haryana, is the company's research and development arm focused on refining technology, lubricants, alternative fuels, and process innovation.","R&D Centre, Faridabad, research and development, business unit","Website"
"F00028","Corporate Structure","Divisions","Exploration and Production","Does IOCL have an exploration and production business?","Yes, IOCL's domestic E&P portfolio includes oil and gas blocks and coal bed methane blocks, while its overseas E&P portfolio includes blocks in countries such as Libya, Iran, Gabon, Nigeria, Timor-Leste, Yemen, and Venezuela.","exploration and production, E&P, coal bed methane, overseas blocks","Public Information"
"F00029","Leadership","Chairman","Current Chairman","Who is the current Chairman of Indian Oil Corporation Limited?","Shri Arvinder Singh Sahney (A. S. Sahney) is the Chairman of Indian Oil Corporation Limited, having been appointed to the role in late 2024 after heading the company's petrochemicals vertical.","Chairman, Arvinder Singh Sahney, A S Sahney, leadership","Website"
"F00030","Leadership","Chairman","Background","What was Chairman A.S. Sahney's role before becoming Chairman?","Before becoming Chairman, Arvinder Singh Sahney headed IndianOil's Petrochemical vertical and was instrumental in conceptualizing major projects including the upcoming mega Petrochemical Complex at Paradip.","A S Sahney, Petrochemicals, Paradip, background, career","Website"
"F00031","Leadership","Chairman","Selection Process","How is the Chairman of IOCL selected?","The Chairman of IOCL is selected by a search-cum-selection committee headed by the Public Enterprises Selection Board (PESB), in consultation with the Ministry of Petroleum & Natural Gas, before formal appointment by the Government of India.","PESB, selection process, Chairman appointment, government process","Public Information"
"F00032","Leadership","Directors","Director HR","Who is the Director (HR) of IOCL?","Ms. Rashmi Govil serves as Director (HR) of Indian Oil Corporation Limited, with extensive experience steering HR strategy including AI-driven HR analytics and employee upskilling.","Director HR, Rashmi Govil, human resources, leadership","Website"
"F00033","Leadership","Directors","Director Refineries","What does the Director (Refineries) oversee at IOCL?","The Director (Refineries) at IndianOil oversees the operation, expansion, and modernization of the company's refinery network across India.","Director Refineries, leadership, refinery operations","Website"
"F00034","Leadership","Board","Board Composition","Who sits on the Board of IOCL?","IOCL's Board of Directors includes Functional Directors (such as Director Refineries, Director Marketing, Director Finance, Director HR), Government Nominee Directors, and Independent Directors.","board of directors, functional directors, independent directors, nominee directors","Annual Report"
"F00035","Leadership","Board","Independent Directors","What is the role of Independent Directors on IOCL's board?","Independent Directors on IOCL's board provide independent oversight on governance, strategy, and risk management, and are appointed for fixed terms in line with PSU governance norms.","independent directors, governance, board oversight","Annual Report"
"F00036","Leadership","Governance","Government Nominee Director","What is a Government Nominee Director at IOCL?","A Government Nominee Director is a board member nominated by the Ministry of Petroleum & Natural Gas to represent the government's interest as the majority shareholder of IOCL.","Government Nominee Director, Ministry of Petroleum, governance","Government Publication"
"F00037","Refineries","Guwahati Refinery","Location","Where is the Guwahati Refinery located?","The Guwahati Refinery is located at Noonmati, Guwahati, Assam.","Guwahati Refinery, Assam, Noonmati, first public sector refinery, INDMAX, location","Website"
"F00038","Refineries","Guwahati Refinery","Capacity","What is the refining capacity of the Guwahati Refinery?","The Guwahati Refinery has a refining capacity of approximately 1.2 MMTPA (since 2023 modernization).","Guwahati Refinery, Assam, Noonmati, first public sector refinery, INDMAX, capacity, MMTPA","Website"
"F00039","Refineries","Guwahati Refinery","History","What is the history of the Guwahati Refinery?","Commissioned in 1962 with Romanian technical assistance, Guwahati Refinery was India's first public-sector refinery, built to process Upper Assam crude. It pioneered IndianOil's indigenous INDMAX fluid catalytic cracking technology, introduced in 2003 to maximize LPG yield from heavy feedstocks.","Guwahati Refinery, Assam, Noonmati, first public sector refinery, INDMAX, history, expansion","Website"
"F00040","Refineries","Digboi Refinery","Location","Where is the Digboi Refinery located?","The Digboi Refinery is located at Digboi, Assam.","Digboi Refinery, Assam, oldest refinery, heritage, Asia's first refinery, location","Website"
"F00041","Refineries","Digboi Refinery","Capacity","What is the refining capacity of the Digboi Refinery?","The Digboi Refinery has a refining capacity of approximately 0.65 MMTPA (small, heritage refinery).","Digboi Refinery, Assam, oldest refinery, heritage, Asia's first refinery, capacity, MMTPA","Website"
"F00042","Refineries","Digboi Refinery","History","What is the history of the Digboi Refinery?","Digboi Refinery, commissioned in 1901 by the Assam Oil Company, is Asia's oldest operating oil refinery and a heritage site for India's petroleum industry; it was later absorbed into IndianOil's refining network.","Digboi Refinery, Assam, oldest refinery, heritage, Asia's first refinery, history, expansion","Website"
"F00043","Refineries","Barauni Refinery","Location","Where is the Barauni Refinery located?","The Barauni Refinery is located at Barauni, Begusarai district, Bihar.","Barauni Refinery, Bihar, Begusarai, expansion, capacity, location","Website"
"F00044","Refineries","Barauni Refinery","Capacity","What is the refining capacity of the Barauni Refinery?","The Barauni Refinery has a refining capacity of approximately 6.0 MMTPA (expansion to 9 MMTPA underway).","Barauni Refinery, Bihar, Begusarai, expansion, capacity, capacity, MMTPA","Website"
"F00045","Refineries","Barauni Refinery","History","What is the history of the Barauni Refinery?","Barauni Refinery began operations with an initial 1.0 MMTPA capacity processing Assam crude, and was expanded over decades via AVU and AU revamps to its current 6.0 MMTPA capacity. An expansion to 9 MMTPA, including new petrochemical units, is currently under implementation.","Barauni Refinery, Bihar, Begusarai, expansion, capacity, history, expansion","Website"
"F00046","Refineries","Gujarat Refinery","Location","Where is the Gujarat Refinery located?","The Gujarat Refinery is located at Koyali, Vadodara district, Gujarat.","Gujarat Refinery, Koyali, Vadodara, LuPech, petrochemical complex, location","Website"
"F00047","Refineries","Gujarat Refinery","Capacity","What is the refining capacity of the Gujarat Refinery?","The Gujarat Refinery has a refining capacity of approximately 13.7 MMTPA (LuPech project targets 18.0 MMTPA).","Gujarat Refinery, Koyali, Vadodara, LuPech, petrochemical complex, capacity, MMTPA","Website"
"F00048","Refineries","Gujarat Refinery","History","What is the history of the Gujarat Refinery?","Gujarat Refinery, commissioned in 1965 near Koyali with Soviet technical assistance, was IndianOil's first major grassroots refinery and today operates as an integrated refinery-cum-petrochemical complex; its ongoing LuPech Project aims to raise capacity from 13.7 to 18.0 MMTPA.","Gujarat Refinery, Koyali, Vadodara, LuPech, petrochemical complex, history, expansion","Website"
"F00049","Refineries","Mathura Refinery","Location","Where is the Mathura Refinery located?","The Mathura Refinery is located at Mathura, Uttar Pradesh.","Mathura Refinery, Uttar Pradesh, Taj Mahal, hydrocracker, capacity, location","Website"
"F00050","Refineries","Mathura Refinery","Capacity","What is the refining capacity of the Mathura Refinery?","The Mathura Refinery has a refining capacity of approximately 8.0 MMTPA.","Mathura Refinery, Uttar Pradesh, Taj Mahal, hydrocracker, capacity, capacity, MMTPA","Website"
"F00051","Refineries","Mathura Refinery","History","What is the history of the Mathura Refinery?","Mathura Refinery was commissioned in 1982 with an initial 6.0 MMTPA capacity to serve north-western India including the National Capital Region; it was later expanded to 8.0 MMTPA following the addition of a Once-Through Hydrocracker Unit in 2000, and operates under extra environmental safeguards owing to its proximity to the Taj Mahal.","Mathura Refinery, Uttar Pradesh, Taj Mahal, hydrocracker, capacity, history, expansion","Website"
"F00052","Refineries","Haldia Refinery","Location","Where is the Haldia Refinery located?","The Haldia Refinery is located at Haldia, West Bengal.","Haldia Refinery, West Bengal, Hooghly River, eastern India, location","Website"
"F00053","Refineries","Haldia Refinery","Capacity","What is the refining capacity of the Haldia Refinery?","The Haldia Refinery has a refining capacity of approximately 8.0 MMTPA (approx.).","Haldia Refinery, West Bengal, Hooghly River, eastern India, capacity, MMTPA","Website"
"F00054","Refineries","Haldia Refinery","History","What is the history of the Haldia Refinery?","Haldia Refinery, located on the banks of the Hooghly River in West Bengal, processes both imported and domestic crude oil and supplies petroleum products across eastern India, supported by the Paradip-Haldia-Barauni crude oil pipeline system.","Haldia Refinery, West Bengal, Hooghly River, eastern India, history, expansion","Website"
"F00055","Refineries","Panipat Refinery","Location","Where is the Panipat Refinery located?","The Panipat Refinery is located at Panipat, Haryana.","Panipat Refinery, Haryana, PRAEP, PTA, Paraxylene, expansion, location","Website"
"F00056","Refineries","Panipat Refinery","Capacity","What is the refining capacity of the Panipat Refinery?","The Panipat Refinery has a refining capacity of approximately 15 MMTPA (expansion to 25 MMTPA underway).","Panipat Refinery, Haryana, PRAEP, PTA, Paraxylene, expansion, capacity, MMTPA","Website"
"F00057","Refineries","Panipat Refinery","History","What is the history of the Panipat Refinery?","Panipat Refinery and Petrochemical Complex was expanded from 12 to 15 MMTPA through the Panipat Refinery Additional Expansion Project (PRAEP), and hosts a major Purified Terephthalic Acid (PTA) and Paraxylene (PX) petrochemical complex; a further expansion to 25 MMTPA is currently under execution.","Panipat Refinery, Haryana, PRAEP, PTA, Paraxylene, expansion, history, expansion","Website"
"F00058","Refineries","Paradip Refinery","Location","Where is the Paradip Refinery located?","The Paradip Refinery is located at Paradip, Jagatsinghpur district, Odisha.","Paradip Refinery, Odisha, grassroots refinery, Petrochemical Complex, location","Website"
"F00059","Refineries","Paradip Refinery","Capacity","What is the refining capacity of the Paradip Refinery?","The Paradip Refinery has a refining capacity of approximately 15 MMTPA (approx., grassroots refinery).","Paradip Refinery, Odisha, grassroots refinery, Petrochemical Complex, capacity, MMTPA","Website"
"F00060","Refineries","Paradip Refinery","History","What is the history of the Paradip Refinery?","Paradip Refinery is one of IndianOil's modern grassroots refineries on the Odisha coast, designed to process high-sulphur, heavy crude oils, and is the planned site of a major upcoming Petrochemical Complex with an investment of around Rs. 61,077 crore.","Paradip Refinery, Odisha, grassroots refinery, Petrochemical Complex, history, expansion","Website"
"F00061","Refineries","Bongaigaon Refinery","Location","Where is the Bongaigaon Refinery located?","The Bongaigaon Refinery is located at Dhaligaon, Bongaigaon district, Assam.","Bongaigaon Refinery, Assam, BRPL, Dhaligaon, location","Website"
"F00062","Refineries","Bongaigaon Refinery","Capacity","What is the refining capacity of the Bongaigaon Refinery?","The Bongaigaon Refinery has a refining capacity of approximately 2.35 MMTPA.","Bongaigaon Refinery, Assam, BRPL, Dhaligaon, capacity, MMTPA","Website"
"F00063","Refineries","Bongaigaon Refinery","History","What is the history of the Bongaigaon Refinery?","Bongaigaon Refinery, formerly Bongaigaon Refinery & Petrochemicals Ltd. (BRPL), became a subsidiary and later merged into IndianOil; it has a relatively modest capacity of around 2.35 MMTPA and serves the lower Assam region.","Bongaigaon Refinery, Assam, BRPL, Dhaligaon, history, expansion","Website"
"F00064","Refineries","Overview","Total Group Capacity","What is the total refining capacity of the IndianOil Group?","As a group, IndianOil operates the largest refining capacity in India, with reported figures of around 70.25 MMTPA across its own refineries (approved to be enhanced to 87.9 MMTPA), rising to roughly 80+ MMTPA when group subsidiary CPCL's refineries are included.","total refining capacity, IndianOil Group, MMTPA, CPCL","Website"
"F00065","Refineries","Overview","Number of Refineries","How many refineries does IndianOil operate?","IndianOil directly operates nine refineries across India, and together with its subsidiary Chennai Petroleum Corporation Limited (CPCL), the IndianOil Group operates eleven refineries in total.","number of refineries, nine refineries, CPCL, IndianOil Group","Website"
"F00066","Refineries","Technology","Refining Technologies Used","What refining technologies does IndianOil use?","IndianOil's refineries employ a wide basket of technologies including atmospheric and vacuum distillation, fluid catalytic cracking (FCC/RFCC), hydrocracking, catalytic reforming, hydrogen generation, delayed coking, lube processing, visbreaking, and sulphur recovery.","refining technologies, FCC, hydrocracking, catalytic reforming, delayed coking","Website"
"F00067","Refineries","Technology","INDMAX Technology","What is INDMAX technology?","INDMAX is an indigenous fluid catalytic cracking technology developed by IndianOil's own R&D Centre, designed to maximize LPG and light olefin yield from heavy residual feedstocks.","INDMAX, fluid catalytic cracking, R&D Centre, LPG yield","Website"
"F00068","Pipelines","Network","Total Pipeline Length","How long is IndianOil's cross-country pipeline network?","IndianOil's cross-country pipeline network for crude oil, petroleum products, and gas spans more than 17,000 kilometres, making it one of the largest pipeline networks among Indian oil companies.","pipeline length, cross-country, kilometres, network","Website"
"F00069","Pipelines","Crude Pipelines","Salaya-Mathura-Panipat Pipeline","What is the Salaya-Mathura-Panipat crude oil pipeline?","The Salaya-Mathura-Panipat crude pipeline system is about 2,663 km long with an installed capacity of around 25 MMTPA, carrying crude oil from Salaya near Vadinar in Gujarat to IndianOil's refineries at Koyali, Mathura, and Panipat.","Salaya, Mathura, Panipat, crude pipeline, Vadinar, Gujarat","Website"
"F00070","Pipelines","Crude Pipelines","Paradip-Haldia-Barauni Pipeline","What is the Paradip-Haldia-Barauni crude oil pipeline?","The Paradip-Haldia-Barauni crude pipeline (PHBPL) is approximately 1,465 km long with an installed capacity of around 20.4 MMTPA, transporting crude oil from Paradip in Odisha to refineries at Haldia and Barauni.","Paradip, Haldia, Barauni, crude pipeline, PHBPL, Odisha","Website"
"F00071","Pipelines","Crude Pipelines","Mundra-Panipat Pipeline","What is the Mundra-Panipat crude oil pipeline?","The Mundra-Panipat Pipeline (MPPL) is roughly 1,194 km long with an installed capacity of about 8.4 MMTPA, carrying crude oil from Mundra on the Gujarat coast to IndianOil's Panipat refinery.","Mundra-Panipat Pipeline, MPPL, crude pipeline, Gujarat, Panipat","Website"
"F00072","Pipelines","Infrastructure","Single Point Mooring (SPM)","What are Single Point Mooring systems used for at IndianOil?","IndianOil operates Single Point Mooring (SPM) systems at coastal locations such as Vadinar and Paradip to unload crude oil from very large crude carriers (VLCCs) offshore, feeding it into the cross-country crude pipeline network.","Single Point Mooring, SPM, VLCC, crude oil unloading, Vadinar, Paradip","Website"
"F00073","Pipelines","Product Pipelines","Barauni-Kanpur Product Pipeline","What is the Barauni-Kanpur Product Pipeline?","The Barauni-Kanpur Product Pipeline (BKPL) transports refined petroleum products such as motor spirit and high-speed diesel from Barauni Refinery to consumption centres, with onward links including a transnational connection to Nepal via the Patna-Motihari-Amlekhganj line.","Barauni-Kanpur Product Pipeline, BKPL, Nepal pipeline, product transport","Website"
"F00074","Pipelines","Product Pipelines","Panipat Product Pipelines","What product pipelines originate from Panipat Refinery?","Panipat Refinery feeds multiple product pipelines, including the Panipat-Bhatinda Pipeline (PBPL), Panipat-Rewari Pipeline (PRPL), Panipat-Delhi Pipeline (PDPL), and Panipat-Ambala-Jalandhar Pipeline (PAJPL), distributing fuels across north India.","Panipat pipelines, PBPL, PRPL, PDPL, PAJPL, north India","Website"
"F00075","Pipelines","Cross-Border","Nepal Transnational Pipeline","Does IndianOil operate any cross-border pipelines?","Yes, IndianOil operates and is expanding transnational petroleum product pipelines to Nepal, such as the Patna-Motihari-Amlekhganj line, and evaluates similar cross-border pipeline proposals with other neighbouring countries.","Nepal pipeline, transnational, cross-border, Motihari, Amlekhganj","Website"
"F00076","Pipelines","Gas Pipelines","Natural Gas Pipeline Network","Does IndianOil operate natural gas pipelines?","IndianOil operates and participates in natural gas pipeline infrastructure as part of its Natural Gas business vertical, supporting City Gas Distribution (CGD) networks and gas supply to industrial and retail customers.","natural gas pipeline, City Gas Distribution, CGD, gas supply","Website"
"F00077","Pipelines","Safety","Pipeline Safety Programs","What safety measures does IndianOil follow for its pipelines?","IndianOil maintains dedicated pipeline safety programs covering right-of-way monitoring, leak detection systems, pipeline crossing permissions, and a public Pipeline Crossing Permission Portal to manage third-party activities near pipeline corridors.","pipeline safety, leak detection, right of way, crossing permission portal","Website"
"F00078","Marketing Operations","Retail","Fuel Stations Count","How many fuel stations does IndianOil operate?","IndianOil operates over 37,500 fuel stations (retail outlets) across India, among the largest retail fuel networks in the country.","fuel stations, retail outlets, petrol pumps, network size","Website"
